,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Short Name,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,Highest Grade,Lowest Grade,Accountability Framework,Level
0,001,District of Columbia Public Schools,175,School-Within-School @ Goding,DCPS,6,At-Risk,,5,,320,School-Within-School @ Goding,20573,18759,1814,13698.0,13382.0,316.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
1,001,District of Columbia Public Schools,202,Aiton Elementary School,DCPS,7,At-Risk,,76,,268,Aiton Elementary School,20775,17827,2948,13900.0,12450.0,1451.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
2,001,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,DCPS,6,At-Risk,,63,,362,Amidon-Bowen Elementary School,19992,17609,2383,13117.0,12231.0,886.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
3,001,District of Columbia Public Schools,204,Bancroft Elementary School,DCPS,1,At-Risk,,25,,591,Bancroft Elementary School,20840,18501,2340,13965.0,13123.0,842.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
4,001,District of Columbia Public Schools,205,Barnard Elementary School,DCPS,4,At-Risk,,46,,700,Barnard Elementary School,21210,18738,2472,14335.0,13361.0,974.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
5,001,District of Columbia Public Schools,206,Beers Elementary School,DCPS,7,At-Risk,,55,,524,Beers Elementary School,20598,17782,2816,13723.0,12404.0,1318.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
6,001,District of Columbia Public Schools,212,Brent Elementary School,DCPS,6,At-Risk,,4,,439,Brent Elementary School,16933,15183,1750,10058.0,9805.0,252.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
7,001,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,At-Risk,,36,,835,Brightwood Education Campus,20682,18419,2263,13807.0,13041.0,766.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
8,001,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,At-Risk,,36,,835,Brightwood Education Campus,20682,18419,2263,13807.0,13041.0,766.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
9,001,District of Columbia Public Schools,219,Bunker Hill Elementary School,DCPS,5,At-Risk,,45,,259,Bunker Hill Elementary School,21933,19037,2896,15058.0,13660.0,1398.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
10,001,District of Columbia Public Schools,220,Burroughs Elementary School,DCPS,5,At-Risk,,45,,301,Burroughs Elementary School,23352,20873,2479,16477.0,15496.0,981.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
11,001,District of Columbia Public Schools,221,Burrville Elementary School,DCPS,7,At-Risk,,68,,336,Burrville Elementary School,19857,17468,2389,12982.0,12091.0,891.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
12,001,District of Columbia Public Schools,224,Cleveland Elementary School,DCPS,1,At-Risk,,51,,323,Cleveland Elementary School,22738,20342,2396,15863.0,14965.0,899.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
13,001,District of Columbia Public Schools,227,H.D. Cooke Elementary School,DCPS,1,At-Risk,,44,,426,H.D. Cooke Elementary School,22164,19889,2274,15289.0,14512.0,777.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
14,001,District of Columbia Public Schools,231,Drew Elementary School,DCPS,7,At-Risk,,74,,280,Drew Elementary School,22743,19699,3044,15868.0,14322.0,1547.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
15,001,District of Columbia Public Schools,232,Eaton Elementary School,DCPS,3,At-Risk,,6,,495,Eaton Elementary School,16802,15096,1706,9927.0,9718.0,209.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
16,001,District of Columbia Public Schools,238,Garfield Elementary School,DCPS,8,At-Risk,,83,,326,Garfield Elementary School,22386,19949,2437,15511.0,14571.0,940.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
17,001,District of Columbia Public Schools,239,Garrison Elementary School,DCPS,2,At-Risk,,38,,307,Garrison Elementary School,21141,18780,2361,14266.0,13403.0,863.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
18,001,District of Columbia Public Schools,246,Hardy Middle School,DCPS,2,At-Risk,,18,,480,Hardy Middle School,19206,17330,1876,12331.0,11953.0,378.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
19,001,District of Columbia Public Schools,247,C.W. Harris Elementary School,DCPS,7,At-Risk,,80,,262,C.W. Harris Elementary School,23506,21009,2496,16631.0,15632.0,999.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
20,001,District of Columbia Public Schools,249,Hendley Elementary School,DCPS,8,At-Risk,,90,,436,Hendley Elementary School,22187,19816,2371,15312.0,14438.0,873.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
21,001,District of Columbia Public Schools,251,Houston Elementary School,DCPS,7,At-Risk,,65,,296,Houston Elementary School,23169,20767,2402,16294.0,15390.0,904.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
22,001,District of Columbia Public Schools,252,Hyde-Addison Elementary School @ Meyer,DCPS,2,At-Risk,,11,,377,Hyde-Addison Elementary School @ Meyer,17208,15406,1802,10333.0,10028.0,304.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
23,001,District of Columbia Public Schools,254,Janney Elementary School,DCPS,3,At-Risk,,1,,748,Janney Elementary School,15805,14015,1790,8930.0,8638.0,292.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
24,001,District of Columbia Public Schools,257,Ketcham Elementary School,DCPS,8,At-Risk,,83,,334,Ketcham Elementary School,18623,16225,2399,11748.0,10847.0,901.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
25,001,District of Columbia Public Schools,258,Hearst Elementary School,DCPS,3,At-Risk,,8,,353,Hearst Elementary School,19015,17218,1797,12140.0,11841.0,299.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
26,001,District of Columbia Public Schools,259,Kimball Elementary School @ Davis,DCPS,7,At-Risk,,83,,384,Kimball Elementary School @ Davis,19018,16736,2282,12143.0,11359.0,784.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
27,001,District of Columbia Public Schools,261,Lafayette Elementary School,DCPS,4,At-Risk,,4,,904,Lafayette Elementary School,16317,14073,2244,9442.0,8695.0,746.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
28,001,District of Columbia Public Schools,262,Langdon Elementary School,DCPS,5,At-Risk,,64,,425,Langdon Elementary School,19586,17371,2215,12711.0,11994.0,718.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
29,001,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,DCPS,4,At-Risk,,58,,446,LaSalle-Backus Education Campus,23166,20906,2259,16291.0,15529.0,762.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
30,001,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,DCPS,4,At-Risk,,58,,446,LaSalle-Backus Education Campus,23166,20906,2259,16291.0,15529.0,762.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
31,001,District of Columbia Public Schools,266,Leckie Education Campus,DCPS,8,At-Risk,,49,,576,Leckie Education Campus,18808,16386,2422,11933.0,11008.0,924.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
32,001,District of Columbia Public Schools,266,Leckie Education Campus,DCPS,8,At-Risk,,49,,576,Leckie Education Campus,18808,16386,2422,11933.0,11008.0,924.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
33,001,District of Columbia Public Schools,271,Ludlow-Taylor Elementary School,DCPS,6,At-Risk,,21,,448,Ludlow-Taylor Elementary School,20481,18152,2329,13606.0,12774.0,832.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
34,001,District of Columbia Public Schools,272,Key Elementary School,DCPS,3,At-Risk,,1,,404,Key Elementary School,17696,15926,1770,10821.0,10548.0,273.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
35,001,District of Columbia Public Schools,273,Mann Elementary School,DCPS,3,At-Risk,,2,,418,Mann Elementary School,17218,15453,1765,10343.0,10075.0,267.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
36,001,District of Columbia Public Schools,274,Maury Elementary School @ Eliot-Hine,DCPS,6,At-Risk,,9,,431,Maury Elementary School @ Eliot-Hine,17255,15490,1765,10380.0,10113.0,267.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
37,001,District of Columbia Public Schools,280,Miner Elementary School,DCPS,6,At-Risk,,62,,417,Miner Elementary School,21511,19252,2259,14636.0,13874.0,761.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
38,001,District of Columbia Public Schools,284,Marie Reed Elementary School,DCPS,1,At-Risk,,28,,466,Marie Reed Elementary School,22831,20498,2332,15956.0,15121.0,835.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
39,001,District of Columbia Public Schools,285,Moten Elementary School,DCPS,8,At-Risk,,83,,403,Moten Elementary School,21305,18636,2669,14430.0,13259.0,1172.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
40,001,District of Columbia Public Schools,287,Murch Elementary School,DCPS,3,At-Risk,,5,,642,Murch Elementary School,16791,14965,1827,9916.0,9587.0,329.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
41,001,District of Columbia Public Schools,288,Nalle Elementary School,DCPS,7,At-Risk,,72,,425,Nalle Elementary School,20284,18039,2245,13409.0,12662.0,747.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
42,001,District of Columbia Public Schools,290,Noyes Elementary School,DCPS,5,At-Risk,,70,,288,Noyes Elementary School,23168,20785,2383,16293.0,15407.0,886.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
43,001,District of Columbia Public Schools,291,Lawrence E. Boone Elementary School,DCPS,8,At-Risk,,77,,458,Lawrence E. Boone Elementary School,18464,16285,2179,11589.0,10908.0,681.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
44,001,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,DCPS,3,At-Risk,,8,,742,Oyster-Adams Bilingual School,18955,17158,1797,12080.0,11781.0,299.0,6875.0,5377.0,1498.0,8.0,-1.0,Elementary School,K-8 School
45,001,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,DCPS,3,At-Risk,,8,,742,Oyster-Adams Bilingual School,18955,17158,1797,12080.0,11781.0,299.0,6875.0,5377.0,1498.0,8.0,-1.0,Middle School,K-8 School
46,001,District of Columbia Public Schools,294,Patterson Elementary School,DCPS,8,At-Risk,,90,,442,Patterson Elementary School,22011,19016,2995,15136.0,13639.0,1497.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
47,001,District of Columbia Public Schools,295,Payne Elementary School,DCPS,6,At-Risk,,45,,361,Payne Elementary School,21855,19466,2389,14980.0,14088.0,892.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
48,001,District of Columbia Public Schools,296,Bruce-Monroe Elementary School @ Park View,DCPS,1,At-Risk,,38,,488,Bruce-Monroe Elementary School @ Park,22121,19909,2212,15246.0,14531.0,715.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
49,001,District of Columbia Public Schools,299,Plummer Elementary School,DCPS,7,At-Risk,,75,,382,Plummer Elementary School,21110,18688,2422,14235.0,13310.0,925.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
50,001,District of Columbia Public Schools,300,Powell Elementary School,DCPS,4,At-Risk,,33,,567,Powell Elementary School,19845,17408,2436,12970.0,12031.0,939.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
51,001,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,At-Risk,,46,,624,Raymond Education Campus,22003,19706,2297,15128.0,14328.0,800.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
52,001,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,At-Risk,,46,,624,Raymond Education Campus,22003,19706,2297,15128.0,14328.0,800.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
53,001,District of Columbia Public Schools,305,Ross Elementary School,DCPS,2,At-Risk,,3,,201,Ross Elementary School,19996,17973,2023,13121.0,12595.0,526.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
54,001,District of Columbia Public Schools,307,Savoy Elementary School,DCPS,8,At-Risk,,88,,292,Savoy Elementary School,22808,20454,2354,15933.0,15076.0,857.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
55,001,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,DCPS,8,At-Risk,,85,,280,Malcolm X Elementary School @,20612,18209,2403,13737.0,12832.0,905.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
56,001,District of Columbia Public Schools,309,Seaton Elementary School,DCPS,6,At-Risk,,35,,416,Seaton Elementary School,22624,20364,2260,15749.0,14987.0,762.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
57,001,District of Columbia Public Schools,313,Shepherd Elementary School,DCPS,4,At-Risk,,12,,396,Shepherd Elementary School,16732,14965,1766,9857.0,9588.0,269.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
58,001,District of Columbia Public Schools,315,Simon Elementary School,DCPS,8,At-Risk,,70,,290,Simon Elementary School,22475,20035,2440,15600.0,14657.0,942.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
59,001,District of Columbia Public Schools,316,Randle Highlands Elementary School,DCPS,7,At-Risk,,62,,363,Randle Highlands Elementary School,20405,17944,2462,13530.0,12566.0,964.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
60,001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,At-Risk,,73,,504,Excel Academy,19872,17722,2150,12997.0,12345.0,653.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
61,001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,At-Risk,,73,,504,Excel Academy,19872,17722,2150,12997.0,12345.0,653.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
62,001,District of Columbia Public Schools,319,Stanton Elementary School,DCPS,8,At-Risk,,88,,522,Stanton Elementary School,19070,16804,2265,12195.0,11427.0,768.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
63,001,District of Columbia Public Schools,321,Stoddert Elementary School,DCPS,3,At-Risk,,4,,487,Stoddert Elementary School,18367,16645,1722,11492.0,11267.0,224.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
64,001,District of Columbia Public Schools,322,Smothers Elementary School,DCPS,7,At-Risk,,72,,288,Smothers Elementary School,22734,20006,2728,15859.0,14628.0,1231.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
65,001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,At-Risk,,42,,577,Takoma Education Campus,20777,18520,2257,13903.0,13143.0,760.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
66,001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,At-Risk,,42,,577,Takoma Education Campus,20777,18520,2257,13903.0,13143.0,760.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
67,001,District of Columbia Public Schools,325,Thomas Elementary School,DCPS,7,At-Risk,,82,,416,Thomas Elementary School,22482,20084,2398,15607.0,14706.0,901.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
68,001,District of Columbia Public Schools,326,Thomson Elementary School,DCPS,2,At-Risk,,38,,351,Thomson Elementary School,20965,18614,2351,14090.0,13236.0,853.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
69,001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,At-Risk,,49,,676,Truesdell Education Campus,19946,17539,2407,13071.0,12161.0,910.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
70,001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,At-Risk,,49,,676,Truesdell Education Campus,19946,17539,2407,13071.0,12161.0,910.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
71,001,District of Columbia Public Schools,328,Tubman Elementary School,DCPS,1,At-Risk,,52,,613,Tubman Elementary School,20733,18421,2311,13858.0,13044.0,814.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
72,001,District of Columbia Public Schools,329,Turner Elementary School,DCPS,8,At-Risk,,82,,537,Turner Elementary School,19375,17145,2230,12500.0,11768.0,733.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
73,001,District of Columbia Public Schools,330,Tyler Elementary School,DCPS,6,At-Risk,,38,,549,Tyler Elementary School,19659,17457,2201,12784.0,12080.0,704.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
74,001,District of Columbia Public Schools,331,Van Ness Elementary School,DCPS,6,At-Risk,,33,,292,Van Ness Elementary School,19277,17388,1890,12402.0,12010.0,392.0,6875.0,5377.0,1498.0,3.0,-2.0,Elementary School,Elementary School
